radius,%_gp_captured,%_img_covered,LCPI,total_gp
50.0,0.0,0.0011811243395155003,0.0,546
110.0,0.04945054945054945,0.027936208506174145,1.7701238677260176,546
170.0,0.13553113553113552,0.0976085311979673,1.3885173136788065,546
230.0,0.23992673992673993,0.19107681350516356,1.2556559612098424,546
290.0,0.3516483516483517,0.28025724487733517,1.2547342060765045,546
350.0,0.4523809523809524,0.3728992791214714,1.2131451512771358,546
410.0,0.5293040293040293,0.4602766864611505,1.1499692356212898,546
470.0,0.5824175824175825,0.5443461756864708,1.0699396972580915,546
530.0,0.6446886446886447,0.6292595451439351,1.0245194525276218,546
590.0,0.7032967032967034,0.7008389139661794,1.0035069247462514,546
650.0,0.7582417582417582,0.7602727981443874,0.997328537983226,546
