radius,%_gp_captured,%_img_covered,LCPI,total_gp
50.0,0.003663003663003663,0.0011811243395155003,0.0,546
110.0,0.03296703296703297,0.027936208506174145,1.1800825784840119,546
170.0,0.12454212454212454,0.0976085311979673,1.2759348287859305,546
230.0,0.20512820512820512,0.19107681350516356,1.073537921034369,546
290.0,0.2893772893772894,0.28025724487733517,1.0325416904171236,546
350.0,0.38095238095238093,0.3728992791214714,1.0215959168649564,546
410.0,0.4523809523809524,0.4602766864611505,0.9828456788873999,546
470.0,0.5238095238095238,0.5443461756864708,0.9622728094836923,546
530.0,0.6007326007326007,0.6292595451439351,0.9546658534916475,546
590.0,0.6831501831501832,0.7008389139661794,0.9747606326311244,546
650.0,0.7490842490842491,0.7602727981443874,0.9852835073312547,546
